case_id,text,variable_code,question
140906,none,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
140950,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
141275,Not Sure Yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
141354,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
141446,Stacy Abrams,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
141655,Not sure,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
141752,Governor Baker,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142036,UNDECIDED,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142047,Ron DeSantos,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142108,not sure,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142168,Literally Anybody Else,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142226,don’t know at this time,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142233,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142273,TBD write in candidate,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142307,Mitt Romney,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142406,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142433,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142650,William Hurd,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
142665,"unsure, but may write in a name",V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
201139,unknown,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
201583,Harris,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
201763,anyone other than Trump or Harris,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
201935,I’m not sure yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
202951,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
203898,N/A,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
206083,Me! I would like to run.,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
206745,unknown,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
208200,Claudia De La Cruz,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
208901,Hoping someone completely different enters,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
209299,me,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
209382,undecided at the time,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
209603,Not sure who I will vote for,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
209778,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
210544,"I haven't chosen yet, but don't think I can support any here",V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
210722,Undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
211389,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
213094,so far undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
213672,i don't tell who i vote for,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
213974,I have not yet decided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
214968,libertarian candidate,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
219391,not sure,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
222066,me,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
222466,Randall Terry (Constitution),V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
222631,Chase Oliver (Libertarian),V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
223104,self,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
223343,private,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
224841,Not decided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
225550,Undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
225990,to be determined,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
228137,Nicky mouse,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
228280,undecided at this time,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
229446,I am not sure yet. I need to do some more research,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
233024,I’m highly displeased with both candidates,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
233624,"President is elected via Electoral College, not popular vote",V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
233902,N/A,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
234761,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
235244,uncommited,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
235273,Chase Oliver,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
235430,dont know,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
235619,I dont intend to vote for president based on the candidates.,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
237312,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
239777,not sure yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
239988,not sure still debating,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
240189,not sure yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
313118,Libertarian party candidate,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
316162,Not Sure of who,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
321795,Chase Oliver,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
326535,Kanye West,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
329136,"Not sure if thats all the candanits, I want to look at all",V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
340965,r says undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
343884,Undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
350406,no,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
353983,Whoever is running for the kAmercan Solidarity Part,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
367150,Chase Oliver,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
367239,someone else,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
371898,someone else,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
386678,Undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
388372,Chase Oliver (Libertarian),V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
393245,undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
395139,none specified,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400012,not sure yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400038,idk,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400101,Unknown,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400436,Jasmine Sherman,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400501,not sure yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400519,not sure yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400520,Claudia De La Cruz,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400744,elvis presley,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
400782,Still undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
401023,I have to do my homework trump don't Biden Joe should stick,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
401036,Mickey Mouse,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
401181,PREFER NOT TO ANSWER,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
401182,Ron Paul,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
401225,Undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
401270,I'm undecided,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
401338,not sure just yet,V241043z,PRE: FOR WHOM DOES R INTEND TO VOTE FOR PRESIDENT - OTHER {SPECIFY}
141518,None of the above,V241046z,PRE: PREFERENCE FOR PRESIDENTIAL CANDIDATE - OTHER {SPECIFY}
142136,unknown,V241046z,PRE: PREFERENCE FOR PRESIDENTIAL CANDIDATE - OTHER {SPECIFY}
205542,not sure who yet,V241046z,PRE: PREFERENCE FOR PRESIDENTIAL CANDIDATE - OTHER {SPECIFY}
352166,someone else,V241046z,PRE: PREFERENCE FOR PRESIDENTIAL CANDIDATE - OTHER {SPECIFY}
395180,John McCain's daughter,V241046z,PRE: PREFERENCE FOR PRESIDENTIAL CANDIDATE - OTHER {SPECIFY}
401390,"nobody can address core issues and get ""elected""",V241046z,PRE: PREFERENCE FOR PRESIDENTIAL CANDIDATE - OTHER {SPECIFY}
217298,Write In Candidate,V241051z,PRE: FOR WHOM DID R VOTE FOR US HOUSE OTHER {SPECIFY}
140002,libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140210,bruh this two part stuff is so lameeee,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140264,Libertarian Party,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140276,"I don't vote based on party, but I lean conservative",V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140580,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140597,"I try to vote for individuals, not parties.",V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140643,I don't know yet; am fed up w/corrupt 2-party system!,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140837,no se,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140952,Undecided,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
140993,green,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141171,libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141198,LIBERAL,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141261,Not sure which party yet,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141275,Not sure need to do nore research,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141446,Neither,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141468,Conservative,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141503,Independent voting and not straight ticket,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141550,dont know,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141615,Green Party,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141700,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141736,I dont know the candidates yet,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
141830,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
142108,not sure,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
142171,Not sure yet. Will research candidates,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
142232,not sure,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
142317,libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
142585,undecided-research needed-Vote Smart/Womens League of Voters,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
201139,unknown,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
201763,voting for either party is a wasted vote,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
202951,"I vote for who I want, not glued to a party",V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
205766,green,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
208200,uncommitted,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
208485,depends on the situation,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
209603,Not sure,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
209778,I need to do further research to make an informed decision,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
210544,Independent. Tired of the 2 party system feeding division.,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
210860,libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
217527,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
221198,members of both parties,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
222466,Libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
224841,Not decided,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
225550,Undecided,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
225699,Libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
226197,independant,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
226238,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
228137,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
229618,NO ONES BUSINESS,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
234149,green,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
236390,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
236408,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
236414,not sure who is running,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
239071,not sure yet,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
239777,i don't vote based on party,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
311520,Does not wish to give answer,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
316162,Liberal Party,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
316251,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
317447,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
321795,libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
331265,Libertarian,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
333458,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
333718,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
336218,Any other party,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
343223,To be decided.,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
344207,Might go Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
346848,Unknown,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
349141,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
352166,someone else not sure of name,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
352620,Not Sure,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
374555,n/a,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
388827,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
390574,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400057,depends who’s running,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400223,independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400436,Green or Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400712,Will more likely depend on candidate and their stances.,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400744,dont know,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400752,Green or independent. Depends on who is on the ballot,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400782,undecided,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400826,I don't vote part lines.,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400827,"democrat or republican, i dont vote by party",V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
400898,Independent,V241053z,PRE: PARTY OF HOUSE CANDIDATE R INTENDS TO VOTE FOR - OTHER {SPECIFY}
